,ID,drawing,copy,time,SSIM,MSE
130,035,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_035_2021_Nov_09_1427,2021_Nov_09_1427,0.38382687800713183,15501.935078039927
131,025,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_025_2021_Nov_02_1125,2021_Nov_02_1125,0.5383793770478355,10800.641805807623
132,022,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_022_2021_Nov_02_0733,2021_Nov_02_0733,0.5236123446440415,10992.67470417423
133,032,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_032_2021_Nov_08_0822,2021_Nov_08_0822,0.5073086349388444,12096.71712522686
134,039,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_039_2021_Nov_11_0928,2021_Nov_11_0928,0.49938323187694417,11680.073406533575
135,024,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_024_2021_Nov_02_1023,2021_Nov_02_1023,0.5018241326424581,11539.101845735027
136,037,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_037_2021_Nov_11_0720,2021_Nov_11_0720,0.5575790559085047,10161.43819782214
137,014,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_014_2021_Oct_29_0932,2021_Oct_29_0932,0.5798863448044318,9691.801656987296
138,013,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_013_2021_Oct_29_0829,2021_Oct_29_0829,0.5259371733332163,10776.7638584392
139,003,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_003_2021_Oct_27_0914,2021_Oct_27_0914,0.5568632811269046,10522.430627949183
140,043,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_043_2021_Nov_22_1232,2021_Nov_22_1232,0.565170518022368,10306.199774954628
141,019,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_019_2021_Nov_01_0723,2021_Nov_01_0723,0.521748849950213,11439.457976406533
142,013,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_013_2021_Oct_29_0829,2021_Oct_29_0829,0.561577387559492,9699.136049001814
143,003,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_003_2021_Oct_27_0914,2021_Oct_27_0914,0.5326631315422591,10259.01907985481
144,019,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_019_2021_Nov_01_0723,2021_Nov_01_0723,0.4826886259385746,11690.16749001815
145,033,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_033_2021_Nov_08_0921,2021_Nov_08_0921,0.533610821680414,10271.001509981852
146,015,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_015_2021_Oct_29_1031,2021_Oct_29_1031,0.4865217376315237,11316.26766969147
147,024,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_024_2021_Nov_02_1023,2021_Nov_02_1023,0.5036639141697037,11038.86234845735
148,011,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_011_2021_Oct_28_1845,2021_Oct_28_1845,0.5037032475672889,11068.331980036297
149,028,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_028_2021_Nov_02_1426,2021_Nov_02_1426,0.5289916288500426,10133.753304900181
150,038,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_038_2021_Nov_11_0832,2021_Nov_11_0832,0.5150375147344325,10473.503515426497
151,034,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_034_2021_Nov_09_1331,2021_Nov_09_1331,0.6084473190908605,8574.334023593467
152,018,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_018_2021_Oct_29_1330,2021_Oct_29_1330,0.5044721083707517,10604.562108892922
153,029,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c2_n2_029_2021_Nov_02_1520,2021_Nov_02_1520,0.6266161005797194,7927.53488384755
154,020,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_020_2021_Nov_01_0834,2021_Nov_01_0834,0.7615746344625949,5305.112655172414
155,027,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_027_2021_Nov_02_1318,2021_Nov_02_1318,0.6686570260529874,6954.725885662432
156,030,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_030_2021_Nov_02_1621,2021_Nov_02_1621,0.605709977364291,8420.793392014519
157,011,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_011_2021_Oct_28_1845,2021_Oct_28_1845,0.6203933623308068,8158.0547731397455
158,028,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_028_2021_Nov_02_1426,2021_Nov_02_1426,0.6151258905275754,8327.17281306715
159,041,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_041_2021_Nov_22_1034,2021_Nov_22_1034,0.6632701640464402,7025.464611615245
160,018,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_018_2021_Oct_29_1330,2021_Oct_29_1330,0.5897738847229145,8630.370263157894
161,022,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_022_2021_Nov_02_0733,2021_Nov_02_0733,0.6422183719215674,7720.689996370236
162,025,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_025_2021_Nov_02_1125,2021_Nov_02_1125,0.6163648911678954,8238.067323049001
163,032,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_032_2021_Nov_08_0822,2021_Nov_08_0822,0.6208300729627657,8093.700909255898
164,006,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_006_2021_Oct_27_1217,2021_Oct_27_1217,0.6543886939121893,7652.509299455535
165,003,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_003_2021_Oct_27_0914,2021_Oct_27_0914,0.6069850922323708,8389.037390199637
166,014,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_014_2021_Oct_29_0932,2021_Oct_29_0932,0.7615746344625949,5305.112655172414
167,012,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c1_n2_012_2021_Oct_29_0730,2021_Oct_29_0730,0.6113767926323732,8360.332869328493
168,030,stimulus_o2_b1_c3_n2,stimulus_o2_b1_c3_n2_030_2021_Nov_02_1621,2021_Nov_02_1621,0.49620892664737526,10945.07717967332
169,041,stimulus_o2_b1_c3_n2,stimulus_o2_b1_c3_n2_041_2021_Nov_22_1034,2021_Nov_22_1034,0.5756157856422415,9965.987784029037
170,038,stimulus_o2_b1_c3_n2,stimulus_o2_b1_c3_n2_038_2021_Nov_11_0832,2021_Nov_11_0832,0.5115378046744837,10716.763292196007
